feature,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
longitude,77.22445,80.2112,2.9867500000000007,72.744325,84.691325,681,20.43
distance_to_coast,16.39,274.0,257.61,-370.02500000000003,660.415,651,19.53
elevation,9.0,209.0,200.0,-291.0,509.0,559,16.77
Wind Direction,277.240215,312.36114499999996,35.12092999999999,224.55882,365.0425399999999,145,4.35
PM2.5,66.0,150.0,84.0,-60.0,276.0,122,3.66
AOD,0.41350000000000003,0.8320000000000001,0.41850000000000004,-0.21425,1.45975,46,1.38
AOD_055,0.41350000000000003,0.8320000000000001,0.41850000000000004,-0.21425,1.45975,46,1.38
AOD_047,0.539,1.0505,0.5115,-0.22824999999999995,1.81775,46,1.38
u_wind_component,0.6560746,1.33911915,0.68304455,-0.368492225,2.363685975,32,0.96
Surface Pressure,101183.78749999999,101445.69125,261.9037500000122,100790.93187499998,101838.54687500003,30,0.9
v_wind_component,-0.84746156,-0.177142695,0.6703188649999999,-1.8529398574999998,0.8283356024999998,16,0.48
Wind Speed,0.9015472124999999,1.5600421,0.6584948875000001,-0.08619511875000019,2.54778443125,7,0.21
CO Column,0.01848136117860657,0.03277017654467246,0.01428881536606589,-0.002951861870492265,0.054203399593771295,0,0.0
land_cover_code,10.0,50.0,40.0,-50.0,110.0,0,0.0
NO2,30.5825,56.2625,25.680000000000003,-7.9375000000000036,94.7825,0,0.0
SO2,17.955,28.055,10.100000000000001,2.804999999999996,43.205,0,0.0
latitude,17.460103,22.5367507,5.076647699999999,9.845131450000002,30.15172225,0,0.0
O3,53.765,103.985,50.22,-21.564999999999998,179.315,0,0.0
NO2 Column,0.00016833812428746023,0.00026033251794439446,9.199439365693423e-05,3.0346533802058895e-05,0.00039832410842979577,0,0.0
AQI,120.0,323.0,203.0,-184.5,627.5,0,0.0
CO,0.67,2.95,2.2800000000000002,-2.7500000000000004,6.370000000000001,0,0.0
PM10,173.22750000000002,328.52750000000003,155.3,-59.7225,561.4775000000001,0,0.0
Boundary Layer Height,517.1573,1082.8428,565.6854999999999,-331.3709499999999,1931.3710499999997,0,0.0
Relative Humidity,35.857864,64.142136,28.284271999999994,-6.568543999999996,106.56854399999999,0,0.0
Temperature,294.6708475,301.459065,6.78821750000003,284.48852124999996,311.6413912500001,0,0.0
HCHO,0.0001660536049505445,0.0003287623953783284,0.0001627087904277839,-7.800958069113133e-05,0.0005728255810200042,0,0.0
